sku,name,price,category,date_bought,buyer_email,buyer_country,payment_type
SKU009,The Alchemist - Paulo Coelho,263.61,Books,1/2/2023,kate.lewis@zoho.com,UK,PayPal
SKU007,Nike Air Max Shoes,386.58,Clothing,1/5/2023,noah.young@yandex.com,USA,Cash
SKU003,Bose QuietComfort Headphones,419.89,Electronics,1/5/2023,alice.johnson@example.com,Germany,Cash
SKU001,Apple iPhone 13,226.22,Electronics,1/5/2023,luke.hall@fastmail.com,UK,Card
SKU009,The Alchemist - Paulo Coelho,300.1,Books,1/7/2023,frank.white@mail.com,Germany,PayPal
SKU003,Bose QuietComfort Headphones,98.46,Electronics,1/7/2023,jack.wilson@protonmail.com,Australia,Card
SKU003,Bose QuietComfort Headphones,367.39,Electronics,1/8/2023,carol.evans@gmail.com,Germany,PayPal
SKU007,Nike Air Max Shoes,87.85,Clothing,1/8/2023,emma.thompson@icloud.com,UK,Cash
SKU005,Dell XPS 13 Laptop,476.92,Electronics,1/9/2023,frank.white@mail.com,USA,Cash
SKU001,Apple iPhone 13,243.61,Electronics,1/10/2023,noah.young@yandex.com,USA,PayPal
SKU008,Adidas Ultraboost Sneakers,414.33,Clothing,1/11/2023,mia.clark@techmail.com,Canada,Cash
SKU005,Dell XPS 13 Laptop,38.33,Electronics,1/11/2023,noah.young@yandex.com,USA,Cash
SKU001,Apple iPhone 13,342.67,Electronics,1/12/2023,david.wilson@yahoo.com,UK,Cash
SKU001,Apple iPhone 13,465.69,Electronics,1/12/2023,olivia.martin@gmx.com,UK,Cash
SKU001,Apple iPhone 13,199.11,Electronics,1/14/2023,harry.davis@live.com,Germany,PayPal
SKU004,Sony 4K Ultra HD TV,283.24,Electronics,1/15/2023,frank.white@mail.com,Germany,Card
SKU002,Samsung Galaxy S21,398.17,Electronics,1/15/2023,carol.evans@gmail.com,UK,Card
SKU005,Dell XPS 13 Laptop,290.26,Electronics,1/16/2023,grace.taylor@inbox.com,Canada,Card
SKU005,Dell XPS 13 Laptop,53.5,Electronics,1/19/2023,olivia.martin@gmx.com,USA,Card
SKU006,Canon EOS Rebel Camera,262.7,Electronics,1/19/2023,frank.white@mail.com,UK,PayPal
SKU007,Nike Air Max Shoes,132.29,Clothing,1/20/2023,bob.smith@outlook.com,USA,PayPal
SKU001,Apple iPhone 13,278.85,Electronics,1/20/2023,isabella.miller@edu.com,Germany,Card
SKU009,The Alchemist - Paulo Coelho,372.75,Books,1/21/2023,isabella.miller@edu.com,Germany,Cash
